date,temperature,humidite,precipitation,rayonnement_solaire,vitesse_vent,direction_vent
2020-01-01 00:00:00,8.14,93.5,0.0,0.0,4.7,256.9
2020-01-01 01:00:00,7.4,95.0,0.0,0.0,5.0,251.7
2020-01-01 02:00:00,5.54,95.0,0.0,0.0,3.8,169.2
2020-01-01 03:00:00,3.88,95.0,0.0,0.0,3.4,137.0
2020-01-01 04:00:00,3.26,95.0,0.0,0.0,3.7,207.3
2020-01-01 05:00:00,02.01,95.0,0.0,0.0,5.2,19.1
2020-01-01 06:00:00,1.32,95.0,0.0,0.0,6.5,87.7
2020-01-01 07:00:00,-0.23,95.0,0.0,0.0,3.7,324.5
2020-01-01 08:00:00,-0.04,95.0,0.0,167.78,1.8,250.6
2020-01-01 09:00:00,0.85,95.0,0.0,259.38,6.1,228.9
2020-01-01 10:00:00,-0.25,95.0,0.0,436.79,3.4,124.4
2020-01-01 11:00:00,4.3,95.0,0.0,558.58,4.2,87.0
2020-01-01 12:00:00,02.06,95.0,0.0,476.13,4.2,305.1
2020-01-01 13:00:00,3.42,95.0,0.0,447.9,6.2,218.6
2020-01-01 14:00:00,4.43,95.0,0.0,443.07,6.0,351.8
2020-01-01 15:00:00,7.78,95.0,0.0,331.95,3.4,95.9
2020-01-01 16:00:00,7.57,95.0,0.0,173.71,3.8,5.7
2020-01-01 17:00:00,9.35,95.0,0.0,0.0,4.6,63.8
2020-01-01 18:00:00,9.62,95.0,0.0,0.0,6.8,59.7
2020-01-01 19:00:00,10.74,89.81,0.0,0.0,4.1,333.2
2020-01-01 20:00:00,10.28,95.0,0.0,0.0,8.9,245.9
2020-01-01 21:00:00,11.07,95.0,0.0,0.0,7.2,62.7
2020-01-01 22:00:00,8.88,95.0,0.0,0.0,3.1,283.7
2020-01-01 23:00:00,9.56,89.97,0.0,0.0,3.3,174.2
2020-01-02 00:00:00,8.3,95.0,0.0,0.0,5.2,171.9
2020-01-02 01:00:00,5.93,95.0,0.0,0.0,2.7,312.0
2020-01-02 02:00:00,7.45,93.56,0.0,0.0,4.2,161.9
2020-01-02 03:00:00,3.88,95.0,0.0,0.0,4.3,254.6
2020-01-02 04:00:00,3.6,95.0,0.0,0.0,8.5,132.2
2020-01-02 05:00:00,1.98,95.0,0.0,0.0,1.0,165.5
2020-01-02 06:00:00,1.2,95.0,0.0,0.0,7.9,63.7
2020-01-02 07:00:00,-0.05,95.0,0.0,0.0,7.7,355.8
2020-01-02 08:00:00,0.38,95.0,0.0,128.14,2.4,288.2
2020-01-02 09:00:00,0.89,95.0,0.0,355.73,5.2,201.1
2020-01-02 10:00:00,0.49,95.0,0.0,425.55,7.9,66.0
2020-01-02 11:00:00,1.6,95.0,0.0,555.23,2.2,90.4
2020-01-02 12:00:00,1.58,95.0,0.0,455.17,6.4,107.9
2020-01-02 13:00:00,04.02,95.0,0.0,452.27,5.3,130.3
2020-01-02 14:00:00,3.16,93.76,0.0,493.74,5.4,150.0
2020-01-02 15:00:00,6.74,95.0,0.0,336.99,5.1,199.5
2020-01-02 16:00:00,8.48,94.17,0.0,119.45,5.6,344.1
2020-01-02 17:00:00,7.52,90.83,0.0,0.0,7.5,346.3
2020-01-02 18:00:00,9.53,95.0,0.0,0.0,7.3,281.2
2020-01-02 19:00:00,9.14,95.0,0.0,0.0,6.9,343.3
2020-01-02 20:00:00,10.89,91.56,0.0,0.0,7.3,42.6
2020-01-02 21:00:00,9.54,91.5,0.0,0.0,7.5,81.1
2020-01-02 22:00:00,10.06,91.11,0.0,0.0,1.4,296.8
2020-01-02 23:00:00,10.49,95.0,0.0,0.0,7.5,186.7
2020-01-03 00:00:00,09.04,85.84,0.0,0.0,3.7,354.6
2020-01-03 01:00:00,5.76,90.92,0.0,0.0,6.3,299.1
2020-01-03 02:00:00,4.92,93.59,0.0,0.0,7.6,271.7
2020-01-03 03:00:00,3.78,95.0,0.0,0.0,3.8,312.3
2020-01-03 04:00:00,1.77,95.0,0.0,0.0,7.8,350.3
2020-01-03 05:00:00,2.49,95.0,0.0,0.0,3.7,59.3
2020-01-03 06:00:00,-1.0,95.0,0.0,0.0,4.1,174.3
2020-01-03 07:00:00,-1.69,95.0,0.0,0.0,7.7,311.5
2020-01-03 08:00:00,-0.23,95.0,0.0,177.43,4.1,329.1
2020-01-03 09:00:00,2.84,95.0,0.0,342.81,1.0,282.4
2020-01-03 10:00:00,03.07,95.0,0.0,420.12,5.9,134.1
2020-01-03 11:00:00,-0.01,95.0,0.0,559.74,5.9,90.2
2020-01-03 12:00:00,2.69,95.0,0.0,539.84,4.9,93.4
2020-01-03 13:00:00,4.14,95.0,0.0,397.85,6.1,312.5
2020-01-03 14:00:00,5.72,88.9,0.0,377.7,3.9,103.4
2020-01-03 15:00:00,7.99,95.0,0.0,250.68,7.6,179.3
2020-01-03 16:00:00,7.17,95.0,0.0,158.79,5.3,210.4
2020-01-03 17:00:00,8.22,95.0,0.0,0.0,6.1,235.1
2020-01-03 18:00:00,10.38,88.75,0.0,0.0,7.5,174.8
2020-01-03 19:00:00,10.08,93.16,0.0,0.0,3.9,192.8
2020-01-03 20:00:00,11.24,95.0,0.0,0.0,4.9,258.2
2020-01-03 21:00:00,9.86,93.57,0.0,0.0,4.4,197.8
2020-01-03 22:00:00,09.05,90.28,0.0,0.0,6.2,286.7
2020-01-03 23:00:00,8.2,95.0,0.0,0.0,5.5,14.1
2020-01-04 00:00:00,6.68,95.0,0.0,0.0,5.1,213.2
2020-01-04 01:00:00,7.17,95.0,0.0,0.0,5.0,230.8
2020-01-04 02:00:00,6.55,95.0,0.0,0.0,3.9,111.8
2020-01-04 03:00:00,03.01,95.0,0.0,0.0,9.3,159.5
2020-01-04 04:00:00,3.42,92.91,0.0,0.0,5.2,28.8
2020-01-04 05:00:00,3.43,95.0,0.0,0.0,5.5,86.3
2020-01-04 06:00:00,2.0,95.0,0.0,0.0,4.8,141.1
2020-01-04 07:00:00,0.41,95.0,0.0,0.0,2.4,14.7
2020-01-04 08:00:00,0.81,93.81,0.0,172.95,7.3,355.7
2020-01-04 09:00:00,-1.61,95.0,0.0,269.59,6.9,330.0
2020-01-04 10:00:00,0.46,95.0,0.0,418.65,3.7,166.0
2020-01-04 11:00:00,2.22,95.0,0.0,472.91,6.6,10.4
2020-01-04 12:00:00,3.28,95.0,0.0,474.99,4.4,212.2
